pango_lineage,pango_unaliased,count
BA.1.1,B.1.1.529.1.1,8
XBB.1.5,XBB.1.5,3
BA.2,B.1.1.529.2,3
BA.2.2,B.1.1.529.2.2,3
BA.2.1,B.1.1.529.2.1,3
BA.1.17.2,B.1.1.529.1.17.2,2
BA.2.10.1,B.1.1.529.2.10.1,2
BA.2.12.1,B.1.1.529.2.12.1,2
AY.103,B.1.617.2.103,2
BA.1,B.1.1.529.1,2
BA.1.18,B.1.1.529.1.18,2
B.1.351,B.1.351,2
BA.1.20,B.1.1.529.1.20,2
B.1.1.7,B.1.1.7,2
DY.1,B.1.1.529.5.2.48.1,1
BA.5.2.33,B.1.1.529.5.2.33,1
B.1.36.19,B.1.36.19,1
B.1.1.214,B.1.1.214,1
BA.5.1.28,B.1.1.529.5.1.28,1
B.1.36,B.1.36,1
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,1
DY.2,B.1.1.529.5.2.48.2,1
B.1.1,B.1.1,1
BA.5.2,B.1.1.529.5.2,1
BA.5.1,B.1.1.529.5.1,1
XBB.1.5.15,XBB.1.5.15,1
B.1.429,B.1.429,1
KP.3.3.8,B.1.1.529.2.86.1.1.11.1.3.3.8,1
FL.2.5,XBB.1.9.1.2.5,1
BA.2.68,B.1.1.529.2.68,1
BA.5.2.6,B.1.1.529.5.2.6,1
HK.2.1,XBB.1.9.2.5.1.1.2.1,1
DY.3,B.1.1.529.5.2.48.3,1
BA.2.3,B.1.1.529.2.3,1
B.1.411,B.1.411,1
BA.5,B.1.1.529.5,1
AY.118,B.1.617.2.118,1
BC.1,B.1.1.529.1.1.1.1,1
XM,XM,1
BL.1,B.1.1.529.2.75.1.1,1
DV.6.2,B.1.1.529.2.75.3.4.1.1.1.1.1.6.2,1
BQ.1.12,B.1.1.529.5.3.1.1.1.1.1.12,1
BF.28,B.1.1.529.5.2.1.28,1
BN.1.2,B.1.1.529.2.75.5.1.2,1
B.1.617.2,B.1.617.2,1
BA.5.2.1,B.1.1.529.5.2.1,1
BA.2.76,B.1.1.529.2.76,1
