pango_lineage,pango_unaliased,count
BA.2,B.1.1.529.2,23
BA.1.1,B.1.1.529.1.1,17
XBB.1.5,XBB.1.5,13
BA.5.1,B.1.1.529.5.1,13
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,11
BA.2.9,B.1.1.529.2.9,9
BA.1.17.2,B.1.1.529.1.17.2,7
BA.2.12.1,B.1.1.529.2.12.1,7
BA.5.2,B.1.1.529.5.2,6
BA.5.2.1,B.1.1.529.5.2.1,6
BA.1.15,B.1.1.529.1.15,4
BF.7,B.1.1.529.5.2.1.7,4
BA.2.3,B.1.1.529.2.3,4
EG.5.1,XBB.1.9.2.5.1,4
BE.1.1,B.1.1.529.5.3.1.1.1,3
HV.1,XBB.1.9.2.5.1.6.1,3
BA.4,B.1.1.529.4,3
BA.2.3.2,B.1.1.529.2.3.2,3
BA.1.17,B.1.1.529.1.17,3
BA.5.1.23,B.1.1.529.5.1.23,3
XBB.1.5.67,XBB.1.5.67,2
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,2
BA.4.6,B.1.1.529.4.6,2
B.1.1,B.1.1,2
BA.5.2.6,B.1.1.529.5.2.6,2
BA.1,B.1.1.529.1,2
BA.2.1,B.1.1.529.2.1,2
XBB.1.16.15,XBB.1.16.15,2
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,2
EG.5.1.1,XBB.1.9.2.5.1.1,2
B.1.2,B.1.2,2
BA.1.20,B.1.1.529.1.20,2
EG.5.1.3,XBB.1.9.2.5.1.3,2
KP.3.2.3,B.1.1.529.2.86.1.1.11.1.3.2.3,1
BQ.1.20,B.1.1.529.5.3.1.1.1.1.1.20,1
FU.2.1,XBB.1.16.1.2.1,1
XBB.1.5.46,XBB.1.5.46,1
BA.5.2.33,B.1.1.529.5.2.33,1
XBB.1.5.91,XBB.1.5.91,1
BQ.1.1.7,B.1.1.529.5.3.1.1.1.1.1.1.7,1
BA.2.80,B.1.1.529.2.80,1
XBB.1.5.106,XBB.1.5.106,1
GJ.1.2.5,XBB.2.3.3.1.2.5,1
CH.1.1.1,B.1.1.529.2.75.3.4.1.1.1.1.1,1
HK.13.1,XBB.1.9.2.5.1.1.13.1,1
BW.1,B.1.1.529.5.6.2.1,1
KS.1,B.1.1.529.2.86.1.1.13.1.1,1
B.1.1.33,B.1.1.33,1
BQ.1.1.57,B.1.1.529.5.3.1.1.1.1.1.1.57,1
BA.1.1.1,B.1.1.529.1.1.1,1
BA.5.2.24,B.1.1.529.5.2.24,1
GE.1,XBB.2.3.10.1,1
GW.5.3.1,XBB.1.19.1.5.3.1,1
XBB.1.16.1,XBB.1.16.1,1
EG.1.6,XBB.1.9.2.1.6,1
JN.1.43.1,B.1.1.529.2.86.1.1.43.1,1
BA.4.4,B.1.1.529.4.4,1
BA.5.2.9,B.1.1.529.5.2.9,1
BA.5.1.22,B.1.1.529.5.1.22,1
BA.2.10.1,B.1.1.529.2.10.1,1
BA.2.5,B.1.1.529.2.5,1
FL.2,XBB.1.9.1.2,1
BA.5.9,B.1.1.529.5.9,1
B.1.416,B.1.416,1
XBB.1.5.25,XBB.1.5.25,1
BA.2.3.10,B.1.1.529.2.3.10,1
BA.2.86.2,B.1.1.529.2.86.2,1
MC.13,B.1.1.529.2.86.1.1.11.1.3.1.1.13,1
BA.4.1.9,B.1.1.529.4.1.9,1
EG.5.1.16,XBB.1.9.2.5.1.16,1
XBB.1.5.61,XBB.1.5.61,1
LB.1.3.3,B.1.1.529.2.86.1.1.9.2.1.3.3,1
XBB.1.5.90,XBB.1.5.90,1
BE.1.2.1,B.1.1.529.5.3.1.1.2.1,1
AY.74,B.1.617.2.74,1
B.1,B.1,1
XBB.1.5.13,XBB.1.5.13,1
BQ.1.5,B.1.1.529.5.3.1.1.1.1.1.5,1
B.1.1.529,B.1.1.529,1
B.39,B.39,1
XBK,XBK,1
FL.10,XBB.1.9.1.10,1
JN.1,B.1.1.529.2.86.1.1,1
XBB.1.5.15,XBB.1.5.15,1
BA.5.2.20,B.1.1.529.5.2.20,1
BQ.1.10,B.1.1.529.5.3.1.1.1.1.1.10,1
KP.3.3.8,B.1.1.529.2.86.1.1.11.1.3.3.8,1
JN.1.22,B.1.1.529.2.86.1.1.22,1
HY.1,XBB.1.5.100.1,1
XBB.1,XBB.1,1
BA.2.68,B.1.1.529.2.68,1
PA.1,B.1.1.529.2.86.1.1.11.1.3.1.1.10.1.1.1,1
AY.98.1,B.1.617.2.98.1,1
BF.21,B.1.1.529.5.2.1.21,1
CH.1.1.10,B.1.1.529.2.75.3.4.1.1.1.1.10,1
FL.1.5.1,XBB.1.9.1.1.5.1,1
B,B,1
XFG.5.1,XFG.5.1,1
XBB.1.5.49,XBB.1.5.49,1
BA.5.3.1,B.1.1.529.5.3.1,1
BA.2.2,B.1.1.529.2.2,1
AY.4,B.1.617.2.4,1
XBB.1.33,XBB.1.33,1
BF.26,B.1.1.529.5.2.1.26,1
JN.1.43,B.1.1.529.2.86.1.1.43,1
BA.2.65,B.1.1.529.2.65,1
MC.30,B.1.1.529.2.86.1.1.11.1.3.1.1.30,1
KP.3.1.4,B.1.1.529.2.86.1.1.11.1.3.1.4,1
BE.1.2,B.1.1.529.5.3.1.1.2,1
BA.1.18,B.1.1.529.1.18,1
AY.46,B.1.617.2.46,1
XBB.1.9.1,XBB.1.9.1,1
BA.5,B.1.1.529.5,1
XBB.1.16,XBB.1.16,1
HK.11.1,XBB.1.9.2.5.1.1.11.1,1
BA.5.2.35,B.1.1.529.5.2.35,1
BA.1.15.1,B.1.1.529.1.15.1,1
