pango_lineage,pango_unaliased,count
BA.2,B.1.1.529.2,63
BA.1.1,B.1.1.529.1.1,45
BA.5.1,B.1.1.529.5.1,16
BA.1,B.1.1.529.1,14
XBB.1.5,XBB.1.5,13
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,13
BA.5.2.1,B.1.1.529.5.2.1,11
BA.2.12.1,B.1.1.529.2.12.1,9
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,8
BA.5.2,B.1.1.529.5.2,7
B.1.2,B.1.2,6
B.1,B.1,6
B.1.1.7,B.1.1.7,6
BA.1.17,B.1.1.529.1.17,5
BA.2.9,B.1.1.529.2.9,5
BA.1.1.18,B.1.1.529.1.1.18,5
AY.122,B.1.617.2.122,5
BA.1.18,B.1.1.529.1.18,5
BA.1.1.1,B.1.1.529.1.1.1,4
JN.1,B.1.1.529.2.86.1.1,4
AY.103,B.1.617.2.103,4
B.1.1,B.1.1,4
BA.5.1.23,B.1.1.529.5.1.23,4
JG.3,XBB.1.9.2.5.1.3.3,3
BA.1.15,B.1.1.529.1.15,3
AY.4,B.1.617.2.4,3
BA.5.1.22,B.1.1.529.5.1.22,3
BA.1.17.2,B.1.1.529.1.17.2,3
BA.2.1,B.1.1.529.2.1,3
BA.5.2.6,B.1.1.529.5.2.6,3
BF.26,B.1.1.529.5.2.1.26,3
XBB.1.16.15,XBB.1.16.15,3
BA.5.1.33,B.1.1.529.5.1.33,2
BA.2.36,B.1.1.529.2.36,2
B.1.1.529,B.1.1.529,2
BF.7,B.1.1.529.5.2.1.7,2
XBB.1.5.15,XBB.1.5.15,2
BQ.1.1.32,B.1.1.529.5.3.1.1.1.1.1.1.32,2
BA.5.2.21,B.1.1.529.5.2.21,2
JD.1.1,XBB.1.5.102.1.1,2
BQ.1.1.18,B.1.1.529.5.3.1.1.1.1.1.1.18,2
BA.4.1,B.1.1.529.4.1,2
B.1.617.2,B.1.617.2,2
HV.1,XBB.1.9.2.5.1.6.1,2
AY.43,B.1.617.2.43,2
BA.2.3,B.1.1.529.2.3,2
XBB.1.16,XBB.1.16,2
BF.1,B.1.1.529.5.2.1.1,2
XEC,XEC,2
BA.2.23,B.1.1.529.2.23,2
EG.5.1.6,XBB.1.9.2.5.1.6,2
KF.1,XBB.1.9.1.15.1.1.1,2
CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,2
