pango_lineage,pango_unaliased,count
BA.1.1,B.1.1.529.1.1,43
BA.2,B.1.1.529.2,40
BA.1,B.1.1.529.1,13
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,11
BA.5.1,B.1.1.529.5.1,11
XBB.1.5,XBB.1.5,9
BA.5.2.1,B.1.1.529.5.2.1,8
BA.1.18,B.1.1.529.1.18,8
BA.1.17.2,B.1.1.529.1.17.2,7
BA.2.12.1,B.1.1.529.2.12.1,6
BA.1.15,B.1.1.529.1.15,6
BA.5.2,B.1.1.529.5.2,5
JN.1,B.1.1.529.2.86.1.1,5
BA.1.1.1,B.1.1.529.1.1.1,4
BE.1.1,B.1.1.529.5.3.1.1.1,4
BA.2.3,B.1.1.529.2.3,4
BA.4.6,B.1.1.529.4.6,4
BA.1.17,B.1.1.529.1.17,4
BA.2.9,B.1.1.529.2.9,4
BF.7,B.1.1.529.5.2.1.7,2
JN.1.2,B.1.1.529.2.86.1.1.2,2
LP.8.1.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.1,2
BN.1.2,B.1.1.529.2.75.5.1.2,2
B.1.617.2,B.1.617.2,2
BN.1.3.1,B.1.1.529.2.75.5.1.3.1,2
AY.23,B.1.617.2.23,2
BA.1.20,B.1.1.529.1.20,2
AY.24,B.1.617.2.24,2
BA.5.1.9,B.1.1.529.5.1.9,2
BA.4.4,B.1.1.529.4.4,2
B.1,B.1,2
BA.2.1,B.1.1.529.2.1,2
BA.5.5,B.1.1.529.5.5,2
B.1.160,B.1.160,2
JN.1.4,B.1.1.529.2.86.1.1.4,2
B.1.1.7,B.1.1.7,2
BA.1.1.10,B.1.1.529.1.1.10,2
KS.1,B.1.1.529.2.86.1.1.13.1.1,2
XBB.1.16.2,XBB.1.16.2,2
BA.4,B.1.1.529.4,2
BA.1.1.18,B.1.1.529.1.1.18,2
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,2
AY.122,B.1.617.2.122,2
BA.5.2.6,B.1.1.529.5.2.6,2
XBB.1.16.15,XBB.1.16.15,2
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,2
BE.9,B.1.1.529.5.3.1.9,1
XBB.1.5.67,XBB.1.5.67,1
BF.7.20,B.1.1.529.5.2.1.7.20,1
JN.1.52,B.1.1.529.2.86.1.1.52,1
MC.1,B.1.1.529.2.86.1.1.11.1.3.1.1.1,1
GJ.1.2.5,XBB.2.3.3.1.2.5,1
HK.11,XBB.1.9.2.5.1.1.11,1
XBB.1.5.20,XBB.1.5.20,1
BA.5.1.33,B.1.1.529.5.1.33,1
BQ.1.31,B.1.1.529.5.3.1.1.1.1.1.31,1
BA.2.36,B.1.1.529.2.36,1
BN.1,B.1.1.529.2.75.5.1,1
BA.2.3.10,B.1.1.529.2.3.10,1
BA.2.62,B.1.1.529.2.62,1
BA.4.6.1,B.1.1.529.4.6.1,1
BF.7.24,B.1.1.529.5.2.1.7.24,1
BQ.1.10.3,B.1.1.529.5.3.1.1.1.1.1.10.3,1
MU.2,B.1.1.529.2.86.1.1.11.1.1.1.5.2,1
LB.1.8,B.1.1.529.2.86.1.1.9.2.1.8,1
BQ.1.1.18,B.1.1.529.5.3.1.1.1.1.1.1.18,1
BN.1.1,B.1.1.529.2.75.5.1.1,1
BA.4.1,B.1.1.529.4.1,1
LB.1,B.1.1.529.2.86.1.1.9.2.1,1
MC.11,B.1.1.529.2.86.1.1.11.1.3.1.1.11,1
XBB.1.9.2,XBB.1.9.2,1
BN.1.4.3,B.1.1.529.2.75.5.1.4.3,1
B.1.2,B.1.2,1
BA.1.1.15,B.1.1.529.1.1.15,1
KP.3.5,B.1.1.529.2.86.1.1.11.1.3.5,1
MC.46,B.1.1.529.2.86.1.1.11.1.3.1.1.46,1
XBB.1.5.46,XBB.1.5.46,1
BN.1.3.3,B.1.1.529.2.75.5.1.3.3,1
KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,1
B.1.1.176,B.1.1.176,1
HV.2,XBB.1.9.2.5.1.6.2,1
GW.5.3.1,XBB.1.19.1.5.3.1,1
B.1.1.351,B.1.1.351,1
BA.5.1.5,B.1.1.529.5.1.5,1
BA.5.6.2,B.1.1.529.5.6.2,1
HA.1,XBB.1.5.86.1,1
BA.2.3.2,B.1.1.529.2.3.2,1
BQ.1.32,B.1.1.529.5.3.1.1.1.1.1.32,1
AY.43,B.1.617.2.43,1
GD.3,XBB.1.9.3.3,1
JN.1.19,B.1.1.529.2.86.1.1.19,1
XBF.3,XBF.3,1
BA.5.2.3,B.1.1.529.5.2.3,1
AY.46.3,B.1.617.2.46.3,1
P.1,B.1.1.28.1,1
FL.15.1.1,XBB.1.9.1.15.1.1,1
XBB.2.3.11,XBB.2.3.11,1
BF.13,B.1.1.529.5.2.1.13,1
HK.3,XBB.1.9.2.5.1.1.3,1
BQ.1.1.37,B.1.1.529.5.3.1.1.1.1.1.1.37,1
BQ.1.1.1,B.1.1.529.5.3.1.1.1.1.1.1.1,1
XBB.1.16,XBB.1.16,1
JN.1.32,B.1.1.529.2.86.1.1.32,1
BQ.1.22,B.1.1.529.5.3.1.1.1.1.1.22,1
XEC.25.1,XEC.25.1,1
PQ.17,XDV.1.5.1.1.8.1.17,1
BW.1,B.1.1.529.5.6.2.1,1
AY.29,B.1.617.2.29,1
FY.1.2,XBB.1.22.1.1.2,1
FL.3.3,XBB.1.9.1.3.3,1
BA.5.1.4,B.1.1.529.5.1.4,1
BN.1.5.2,B.1.1.529.2.75.5.1.5.2,1
XQ,XQ,1
KA.1,XBB.1.5.103.1,1
GK.2.1,XBB.1.5.70.2.1,1
B.1.1,B.1.1,1
XBF,XBF,1
FL.34,XBB.1.9.1.34,1
BQ.1.10,B.1.1.529.5.3.1.1.1.1.1.10,1
BQ.1,B.1.1.529.5.3.1.1.1.1.1,1
BQ.1.1.31,B.1.1.529.5.3.1.1.1.1.1.1.31,1
XBB.1.5.82,XBB.1.5.82,1
EG.5.1.6,XBB.1.9.2.5.1.6,1
XBB.1.5.28,XBB.1.5.28,1
JN.2,B.1.1.529.2.86.1.2,1
XBB.1.5.18,XBB.1.5.18,1
BA.2.65,B.1.1.529.2.65,1
MC.30,B.1.1.529.2.86.1.1.11.1.3.1.1.30,1
BQ.1.1.40,B.1.1.529.5.3.1.1.1.1.1.1.40,1
CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,1
BQ.1.13.1,B.1.1.529.5.3.1.1.1.1.1.13.1,1
BA.1.15.1,B.1.1.529.1.15.1,1
XBB.1.5.65,XBB.1.5.65,1
XDV.1.12,XDV.1.12,1
XEK.1.1,XEK.1.1,1
BA.2.56,B.1.1.529.2.56,1
BQ.1.23,B.1.1.529.5.3.1.1.1.1.1.23,1
FL.2.7.1,XBB.1.9.1.2.7.1,1
BA.5.6,B.1.1.529.5.6,1
BQ.1.14,B.1.1.529.5.3.1.1.1.1.1.14,1
FL.3.1,XBB.1.9.1.3.1,1
BF.7.4,B.1.1.529.5.2.1.7.4,1
BA.2.10,B.1.1.529.2.10,1
GK.1.1,XBB.1.5.70.1.1,1
BF.14,B.1.1.529.5.2.1.14,1
BA.5.2.48,B.1.1.529.5.2.48,1
JN.1.18,B.1.1.529.2.86.1.1.18,1
B.1.466.2,B.1.466.2,1
BE.4,B.1.1.529.5.3.1.4,1
BA.4.1.9,B.1.1.529.4.1.9,1
EG.5.1.16,XBB.1.9.2.5.1.16,1
XBB.1.5.61,XBB.1.5.61,1
BE.1.2.1,B.1.1.529.5.3.1.1.2.1,1
B.1.1.50,B.1.1.50,1
BA.5.2.12,B.1.1.529.5.2.12,1
BA.1.21,B.1.1.529.1.21,1
HF.1,XBB.1.16.13.1,1
XBB.1.5.13,XBB.1.5.13,1
GV.1,XBB.1.5.48.1,1
BQ.1.1.69,B.1.1.529.5.3.1.1.1.1.1.1.69,1
XBB.1.16.21,XBB.1.16.21,1
CA.7,B.1.1.529.2.75.2.7,1
BA.5.1.10,B.1.1.529.5.1.10,1
BF.26,B.1.1.529.5.2.1.26,1
JN.1.43,B.1.1.529.2.86.1.1.43,1
CK.2.1.1,B.1.1.529.5.2.24.2.1.1,1
KP.3,B.1.1.529.2.86.1.1.11.1.3,1
BA.1.1.16,B.1.1.529.1.1.16,1
B.1.1.241,B.1.1.241,1
DV.6.2,B.1.1.529.2.75.3.4.1.1.1.1.1.6.2,1
BQ.1.12,B.1.1.529.5.3.1.1.1.1.1.12,1
BA.5.2.14,B.1.1.529.5.2.14,1
EG.5.1.1,XBB.1.9.2.5.1.1,1
GK.1.1.1,XBB.1.5.70.1.1.1,1
XBB.1.16.6,XBB.1.16.6,1
