pango_lineage,pango_unaliased,count
AY.127,B.1.617.2.127,1
BE.1,B.1.1.529.5.3.1.1,1
XBB.2.3.3,XBB.2.3.3,1
CH.1.1.15,B.1.1.529.2.75.3.4.1.1.1.1.15,1
B.1.258.3,B.1.258.3,1
BA.5.2.44,B.1.1.529.5.2.44,1
XBB.1.5.6,XBB.1.5.6,1
BA.1.1.12,B.1.1.529.1.1.12,1
JD.1.1.8,XBB.1.5.102.1.1.8,1
BQ.1.1.23,B.1.1.529.5.3.1.1.1.1.1.1.23,1
B.1.1.413,B.1.1.413,1
JN.1.29,B.1.1.529.2.86.1.1.29,1
B.1.588,B.1.588,1
FL.2,XBB.1.9.1.2,1
XBB.1.5.66,XBB.1.5.66,1
AY.117,B.1.617.2.117,1
AY.33,B.1.617.2.33,1
AY.9.2.2,B.1.617.2.9.2.2,1
XBB.6.1,XBB.6.1,1
BQ.1.1.35,B.1.1.529.5.3.1.1.1.1.1.1.35,1
AY.59,B.1.617.2.59,1
BF.7.24,B.1.1.529.5.2.1.7.24,1
BQ.1.5,B.1.1.529.5.3.1.1.1.1.1.5,1
XBB.2.3.8,XBB.2.3.8,1
Q.3,B.1.1.7.3,1
EG.5.1.2,XBB.1.9.2.5.1.2,1
CH.1.1.10,B.1.1.529.2.75.3.4.1.1.1.1.10,1
BA.2.2,B.1.1.529.2.2,1
JN.1.2,B.1.1.529.2.86.1.1.2,1
BE.4.1,B.1.1.529.5.3.1.4.1,1
BF.11,B.1.1.529.5.2.1.11,1
DY.3,B.1.1.529.5.2.48.3,1
KP.3.1.4,B.1.1.529.2.86.1.1.11.1.3.1.4,1
LB.1,B.1.1.529.2.86.1.1.9.2.1,1
BF.7.14,B.1.1.529.5.2.1.7.14,1
AY.14,B.1.617.2.14,1
XBF.2,XBF.2,1
BG.2,B.1.1.529.2.12.1.2,1
BA.5.5.1,B.1.1.529.5.5.1,1
XEK.1,XEK.1,1
BL.1,B.1.1.529.2.75.1.1,1
AY.25,B.1.617.2.25,1
XBB.2.3,XBB.2.3,1
CH.1.1.25,B.1.1.529.2.75.3.4.1.1.1.1.25,1
KP.3.1.6,B.1.1.529.2.86.1.1.11.1.3.1.6,1
BN.1.2,B.1.1.529.2.75.5.1.2,1
BA.5.2.28,B.1.1.529.5.2.28,1
AY.23,B.1.617.2.23,1
FD.1.1,XBB.1.5.15.1.1,1
XBB.1.5.7,XBB.1.5.7,1
BF.40,B.1.1.529.5.2.1.40,1
EG.5.1.4,XBB.1.9.2.5.1.4,1
BA.4.1.1,B.1.1.529.4.1.1,1
BE.1.1,B.1.1.529.5.3.1.1.1,1
BQ.1.2,B.1.1.529.5.3.1.1.1.1.1.2,1
BA.2.3.11,B.1.1.529.2.3.11,1
KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,1
FC.1,B.1.1.529.5.3.1.1.1.1.1.1.72.1,1
R.1,B.1.1.316.1,1
CH.1.1.2,B.1.1.529.2.75.3.4.1.1.1.1.2,1
CK.1.3,B.1.1.529.5.2.24.1.3,1
MC.27,B.1.1.529.2.86.1.1.11.1.3.1.1.27,1
BA.2.5,B.1.1.529.2.5,1
B.1.416,B.1.416,1
JN.1.7,B.1.1.529.2.86.1.1.7,1
BN.1.5,B.1.1.529.2.75.5.1.5,1
GK.1.5,XBB.1.5.70.1.5,1
BA.2.86.2,B.1.1.529.2.86.2,1
BF.27,B.1.1.529.5.2.1.27,1
BA.2.3.20,B.1.1.529.2.3.20,1
BQ.1.1.30,B.1.1.529.5.3.1.1.1.1.1.1.30,1
BA.1.1.9,B.1.1.529.1.1.9,1
BA.5.1.3,B.1.1.529.5.1.3,1
XBB.1.5.24,XBB.1.5.24,1
BA.5.2.20,B.1.1.529.5.2.20,1
BA.2.3.5,B.1.1.529.2.3.5,1
KP.3.3.8,B.1.1.529.2.86.1.1.11.1.3.3.8,1
XBB.1.17.1,XBB.1.17.1,1
BF.21,B.1.1.529.5.2.1.21,1
KP.1.1.1,B.1.1.529.2.86.1.1.11.1.1.1.1,1
XBB.1.5.49,XBB.1.5.49,1
AY.34.1,B.1.617.2.34.1,1
BQ.1.1.21,B.1.1.529.5.3.1.1.1.1.1.1.21,1
FL.15.1.1,XBB.1.9.1.15.1.1,1
CE.1,B.1.1.529.5.2.33.1,1
DU.1,B.1.1.529.5.3.1.1.1.1.1.1.2.1,1
MC.7,B.1.1.529.2.86.1.1.11.1.3.1.1.7,1
B.1.351.2,B.1.351.2,1
B.1.1.519,B.1.1.519,1
EG.1.4,XBB.1.9.2.1.4,1
HK.3.2,XBB.1.9.2.5.1.1.3.2,1
BE.1.4,B.1.1.529.5.3.1.1.4,1
BF.1,B.1.1.529.5.2.1.1,1
BQ.1.1.29,B.1.1.529.5.3.1.1.1.1.1.1.29,1
BQ.1.22,B.1.1.529.5.3.1.1.1.1.1.22,1
BA.1.13,B.1.1.529.1.13,1
BQ.1.1.49,B.1.1.529.5.3.1.1.1.1.1.1.49,1
B.1.177.83,B.1.177.83,1
JN.1.39,B.1.1.529.2.86.1.1.39,1
BA.2.40.1,B.1.1.529.2.40.1,1
MC.24,B.1.1.529.2.86.1.1.11.1.3.1.1.24,1
XEC,XEC,1
HK.6,XBB.1.9.2.5.1.1.6,1
XAH,XAH,1
CH.1.1.1,B.1.1.529.2.75.3.4.1.1.1.1.1,1
B.1.1.1,B.1.1.1,1
AY.126,B.1.617.2.126,1
KQ.1,B.1.1.529.2.86.1.1.4.3.1,1
XBB.1.16.4,XBB.1.16.4,1
BQ.1.1.57,B.1.1.529.5.3.1.1.1.1.1.1.57,1
JN.1.13.1,B.1.1.529.2.86.1.1.13.1,1
BQ.1.1.10,B.1.1.529.5.3.1.1.1.1.1.1.10,1
BA.5.1.4,B.1.1.529.5.1.4,1
BA.5.1.24,B.1.1.529.5.1.24,1
AY.23.1,B.1.617.2.23.1,1
HK.1.2,XBB.1.9.2.5.1.1.1.2,1
BA.1.1.11,B.1.1.529.1.1.11,1
EG.6.1,XBB.1.9.2.6.1,1
B.1.525,B.1.525,1
XBB.1.5.100,XBB.1.5.100,1
BA.2.86.1,B.1.1.529.2.86.1,1
HK.13,XBB.1.9.2.5.1.1.13,1
HY.1,XBB.1.5.100.1,1
BQ.1.1.15,B.1.1.529.5.3.1.1.1.1.1.1.15,1
EG.5.1.6,XBB.1.9.2.5.1.6,1
B.1.561,B.1.561,1
FL.20.2,XBB.1.9.1.20.2,1
B.1.241,B.1.241,1
JN.2,B.1.1.529.2.86.1.2,1
BA.4.5,B.1.1.529.4.5,1
EN.1,B.1.1.529.5.3.1.1.1.1.1.1.46.1,1
DV.7.1,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1,1
B.1.36.18,B.1.36.18,1
BQ.1.1.40,B.1.1.529.5.3.1.1.1.1.1.1.40,1
BF.5,B.1.1.529.5.2.1.5,1
XEC.2,XEC.2,1
FL.29,XBB.1.9.1.29,1
BA.1.2,B.1.1.529.1.2,1
BA.5,B.1.1.529.5,1
BA.1.14,B.1.1.529.1.14,1
XEC.33,XEC.33,1
XBB.1.5.65,XBB.1.5.65,1
B.1.1.192,B.1.1.192,1
BA.5.5,B.1.1.529.5.5,1
XBB.1.5.1,XBB.1.5.1,1
B.1.1.318,B.1.1.318,1
EF.1.2,B.1.1.529.5.3.1.1.1.1.1.1.13.1.2,1
BA.2.56,B.1.1.529.2.56,1
B.1.177.77,B.1.177.77,1
BF.31,B.1.1.529.5.2.1.31,1
BA.5.6,B.1.1.529.5.6,1
B.1.568,B.1.568,1
BA.5.1.8,B.1.1.529.5.1.8,1
B.1.1.277,B.1.1.277,1
KS.1,B.1.1.529.2.86.1.1.13.1.1,1
BQ.1.2.3,B.1.1.529.5.3.1.1.1.1.1.2.3,1
XBB.1.5.48,XBB.1.5.48,1
KP.3.2,B.1.1.529.2.86.1.1.11.1.3.2,1
FL.3.1,XBB.1.9.1.3.1,1
BF.7.4,B.1.1.529.5.2.1.7.4,1
EU.1.1,XBB.1.5.26.1.1,1
GK.1.1,XBB.1.5.70.1.1,1
B.1.470,B.1.470,1
XBB.1.16.1,XBB.1.16.1,1
DV.7.1.4,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.4,1
CL.1,B.1.1.529.5.1.29.1,1
FU.3,XBB.1.16.1.3,1
BA.1.1.18,B.1.1.529.1.1.18,1
