pango_lineage,pango_unaliased,count
BA.1.1,B.1.1.529.1.1,15
BA.2,B.1.1.529.2,12
BA.5.2.1,B.1.1.529.5.2.1,7
BA.5.1,B.1.1.529.5.1,6
BA.1.17.2,B.1.1.529.1.17.2,5
BA.2.12.1,B.1.1.529.2.12.1,5
XBB.1.5,XBB.1.5,3
BA.1.1.1,B.1.1.529.1.1.1,3
BA.1.17,B.1.1.529.1.17,3
JN.1.4,B.1.1.529.2.86.1.1.4,3
BF.7,B.1.1.529.5.2.1.7,2
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,2
BA.1.18,B.1.1.529.1.18,2
BA.1.1.16,B.1.1.529.1.1.16,2
B.1.1.7,B.1.1.7,2
B.1.258,B.1.258,1
MC.1,B.1.1.529.2.86.1.1.11.1.3.1.1.1,1
BA.2.15,B.1.1.529.2.15,1
JN.1.13.1,B.1.1.529.2.86.1.1.13.1,1
GE.1,XBB.2.3.10.1,1
GW.5.3.1,XBB.1.19.1.5.3.1,1
BA.5.2.9,B.1.1.529.5.2.9,1
BA.1.1.18,B.1.1.529.1.1.18,1
XCT.1,XCT.1,1
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,1
BN.1.5,B.1.1.529.2.75.5.1.5,1
BA.1.1.11,B.1.1.529.1.1.11,1
B.1.1.397,B.1.1.397,1
BE.1.2.1,B.1.1.529.5.3.1.1.2.1,1
BA.5.1.25,B.1.1.529.5.1.25,1
BF.7.24,B.1.1.529.5.2.1.7.24,1
B.1,B.1,1
BA.4.6,B.1.1.529.4.6,1
BA.5.2,B.1.1.529.5.2,1
BA.5.2.20,B.1.1.529.5.2.20,1
BQ.1.1.32,B.1.1.529.5.3.1.1.1.1.1.1.32,1
JD.1.1,XBB.1.5.102.1.1,1
B.1.149,B.1.149,1
BA.2.9,B.1.1.529.2.9,1
B,B,1
BA.5.2.6,B.1.1.529.5.2.6,1
KP.1.1.1,B.1.1.529.2.86.1.1.11.1.1.1.1,1
BA.2.2,B.1.1.529.2.2,1
JN.1.2,B.1.1.529.2.86.1.1.2,1
BA.5.1.10,B.1.1.529.5.1.10,1
BA.5.2.58,B.1.1.529.5.2.58,1
BA.2.1,B.1.1.529.2.1,1
BA.1,B.1.1.529.1,1
XBB.1.33,XBB.1.33,1
BQ.1.8,B.1.1.529.5.3.1.1.1.1.1.8,1
JN.1.43,B.1.1.529.2.86.1.1.43,1
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,1
BA.2.3,B.1.1.529.2.3,1
BF.13,B.1.1.529.5.2.1.13,1
AY.46,B.1.617.2.46,1
JN.3,B.1.1.529.2.86.1.3,1
XCH.1,XCH.1,1
XBB.1.9.1,XBB.1.9.1,1
XBB.1.16,XBB.1.16,1
LB.1.3.5,B.1.1.529.2.86.1.1.9.2.1.3.5,1
FL.4,XBB.1.9.1.4,1
BA.5.1.12,B.1.1.529.5.1.12,1
XBB.1.9.2,XBB.1.9.2,1
BQ.1.12,B.1.1.529.5.3.1.1.1.1.1.12,1
BA.5.1.35,B.1.1.529.5.1.35,1
MC.2,B.1.1.529.2.86.1.1.11.1.3.1.1.2,1
XBB.1.5.7,XBB.1.5.7,1
BA.1.1.15,B.1.1.529.1.1.15,1
AY.38,B.1.617.2.38,1
KP.4.2,B.1.1.529.2.86.1.1.11.1.4.2,1
