pango_lineage,pango_unaliased,count
BA.1.1,B.1.1.529.1.1,20
BA.2,B.1.1.529.2,17
BA.5.1,B.1.1.529.5.1,9
XBB.1.5,XBB.1.5,8
BA.1,B.1.1.529.1,6
B.1,B.1,4
BA.5.2,B.1.1.529.5.2,4
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,4
BA.2.9,B.1.1.529.2.9,4
BA.2.3,B.1.1.529.2.3,4
BA.5.2.1,B.1.1.529.5.2.1,4
BA.1.17.2,B.1.1.529.1.17.2,3
BA.2.12.1,B.1.1.529.2.12.1,3
JG.3,XBB.1.9.2.5.1.3.3,3
B.1.1,B.1.1,3
BA.4.6,B.1.1.529.4.6,3
BF.7,B.1.1.529.5.2.1.7,3
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,3
B.1.617.2,B.1.617.2,3
DT.3,B.1.1.529.5.3.1.1.1.1.1.1.32.3,2
B.1.258,B.1.258,2
BA.1.1.10,B.1.1.529.1.1.10,2
KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,2
BA.1.1.1,B.1.1.529.1.1.1,2
BF.7.21,B.1.1.529.5.2.1.7.21,2
BA.1.15,B.1.1.529.1.15,2
AY.103,B.1.617.2.103,2
BA.5.1.10,B.1.1.529.5.1.10,2
BF.7.14,B.1.1.529.5.2.1.7.14,2
XCH.1,XCH.1,2
BN.1.3.1,B.1.1.529.2.75.5.1.3.1,2
BA.2.56,B.1.1.529.2.56,2
JN.1.4,B.1.1.529.2.86.1.1.4,2
BA.1.20,B.1.1.529.1.20,2
BE.1,B.1.1.529.5.3.1.1,1
MC.3,B.1.1.529.2.86.1.1.11.1.3.1.1.3,1
BF.40,B.1.1.529.5.2.1.40,1
XBB.1.5.46,XBB.1.5.46,1
B.1.438.1,B.1.438.1,1
C.14,B.1.1.1.14,1
XBB.1.16.16,XBB.1.16.16,1
XEC,XEC,1
BE.1.1,B.1.1.529.5.3.1.1.1,1
BQ.1.14,B.1.1.529.5.3.1.1.1.1.1.14,1
BA.2.3.21,B.1.1.529.2.3.21,1
C.37,B.1.1.1.37,1
BF.7.13,B.1.1.529.5.2.1.7.13,1
XBB.1.16.4,XBB.1.16.4,1
B.1.36,B.1.36,1
BA.5.2.24,B.1.1.529.5.2.24,1
JN.1.6,B.1.1.529.2.86.1.1.6,1
XBB.1.16.2,XBB.1.16.2,1
HV.1,XBB.1.9.2.5.1.6.1,1
DV.7.1.1,B.1.1.529.2.75.3.4.1.1.1.1.1.7.1.1,1
BF.18,B.1.1.529.5.2.1.18,1
B.1.1.351,B.1.1.351,1
XBB.1.5.37,XBB.1.5.37,1
BA.1.1.18,B.1.1.529.1.1.18,1
JF.1,XBB.1.16.6.1,1
B.1.416,B.1.416,1
BN.1,B.1.1.529.2.75.5.1,1
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,1
JN.1.7,B.1.1.529.2.86.1.1.7,1
HN.1,XBB.1.9.1.1.5.1.1,1
AY.100,B.1.617.2.100,1
BA.2.3.2,B.1.1.529.2.3.2,1
DB.1,B.1.1.529.5.2.25.1,1
EG.1,XBB.1.9.2.1,1
HK.27.1,XBB.1.9.2.5.1.1.27.1,1
BA.4.1.9,B.1.1.529.4.1.9,1
AY.44,B.1.617.2.44,1
DY.2,B.1.1.529.5.2.48.2,1
GK.2.1,XBB.1.5.70.2.1,1
B.1.1.529,B.1.1.529,1
JN.1.19,B.1.1.529.2.86.1.1.19,1
BA.2.23,B.1.1.529.2.23,1
BQ.1.10.3,B.1.1.529.5.3.1.1.1.1.1.10.3,1
BQ.1.11,B.1.1.529.5.3.1.1.1.1.1.11,1
XBB.1.5.100,XBB.1.5.100,1
XBF,XBF,1
BA.2.86.1,B.1.1.529.2.86.1,1
B.1.177,B.1.177,1
BA.5.2.47,B.1.1.529.5.2.47,1
BA.5.2.20,B.1.1.529.5.2.20,1
JN.1,B.1.1.529.2.86.1.1,1
BA.1.17,B.1.1.529.1.17,1
HY.1,XBB.1.5.100.1,1
B.1.240,B.1.240,1
FL.1.5.1,XBB.1.9.1.1.5.1,1
BA.2.77,B.1.1.529.2.77,1
BQ.1.1.31,B.1.1.529.5.3.1.1.1.1.1.1.31,1
B,B,1
EG.5.1.6,XBB.1.9.2.5.1.6,1
KP.1.1.1,B.1.1.529.2.86.1.1.11.1.1.1.1,1
JN.1.2,B.1.1.529.2.86.1.1.2,1
BA.2.1,B.1.1.529.2.1,1
FK.1.1,B.1.1.529.2.75.3.4.1.1.1.1.17.1.1,1
BQ.1.8,B.1.1.529.5.3.1.1.1.1.1.8,1
BA.4.1,B.1.1.529.4.1,1
BQ.1.1.40,B.1.1.529.5.3.1.1.1.1.1.1.40,1
FR.1,B.1.1.529.2.75.5.1.2.3.1,1
XBB.1.5.23,XBB.1.5.23,1
BE.1.2,B.1.1.529.5.3.1.1.2,1
BA.2.38,B.1.1.529.2.38,1
B.1.1.519,B.1.1.519,1
FL.4.2,XBB.1.9.1.4.2,1
BG.2,B.1.1.529.2.12.1.2,1
JN.16,B.1.1.529.2.86.1.16,1
HK.3.2,XBB.1.9.2.5.1.1.3.2,1
GJ.1.2,XBB.2.3.3.1.2,1
AY.25,B.1.617.2.25,1
JN.7,B.1.1.529.2.86.1.7,1
XBB.1.9.2,XBB.1.9.2,1
EG.5.1.1,XBB.1.9.2.5.1.1,1
BA.5.1.35,B.1.1.529.5.1.35,1
B.1.177.81,B.1.177.81,1
FL.2.3,XBB.1.9.1.2.3,1
B.1.2,B.1.2,1
B.1.1.273,B.1.1.273,1
BA.2.76,B.1.1.529.2.76,1
B.1.160,B.1.160,1
EG.5.1.3,XBB.1.9.2.5.1.3,1
B.1.1.7,B.1.1.7,1
BN.1.6,B.1.1.529.2.75.5.1.6,1
