pango_lineage,pango_unaliased,count
BA.1.1,B.1.1.529.1.1,10
BA.2.12.1,B.1.1.529.2.12.1,5
BA.1,B.1.1.529.1,5
BA.2,B.1.1.529.2,3
BA.1.15,B.1.1.529.1.15,3
BA.2.9,B.1.1.529.2.9,2
KP.1.1,B.1.1.529.2.86.1.1.11.1.1.1,1
AY.99.2,B.1.617.2.99.2,1
BA.1.17,B.1.1.529.1.17,1
BF.21,B.1.1.529.5.2.1.21,1
BA.1.13.1,B.1.1.529.1.13.1,1
AY.24,B.1.617.2.24,1
LB.1.3.3,B.1.1.529.2.86.1.1.9.2.1.3.3,1
BA.1.21,B.1.1.529.1.21,1
B.1,B.1,1
XBB.1.5.18,XBB.1.5.18,1
BA.1.17.2,B.1.1.529.1.17.2,1
B.1.351,B.1.351,1
B.1.617.2,B.1.617.2,1
B.1.2,B.1.2,1
BA.5.1,B.1.1.529.5.1,1
LB.1.3,B.1.1.529.2.86.1.1.9.2.1.3,1
BA.2.3,B.1.1.529.2.3,1
XBB.1.5.21,XBB.1.5.21,1
KS.1.5,B.1.1.529.2.86.1.1.13.1.1.5,1
EG.5.1.3,XBB.1.9.2.5.1.3,1
BA.1.20,B.1.1.529.1.20,1
BF.7.14,B.1.1.529.5.2.1.7.14,1
B.1.1.459,B.1.1.459,1
BA.1.18,B.1.1.529.1.18,1
XBC.1,XBC.1,1
JN.1,B.1.1.529.2.86.1.1,1
XBB.1.16.6,XBB.1.16.6,1
