pango_lineage,pango_unaliased,count
BA.2,B.1.1.529.2,31
BA.1.1,B.1.1.529.1.1,20
BA.5.1,B.1.1.529.5.1,14
BA.2.12.1,B.1.1.529.2.12.1,9
BA.5.2,B.1.1.529.5.2,9
BA.1,B.1.1.529.1,9
XBB.1.5,XBB.1.5,8
B.1.1,B.1.1,8
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,8
BA.2.9,B.1.1.529.2.9,8
BA.5.2.1,B.1.1.529.5.2.1,7
BA.1.17,B.1.1.529.1.17,6
AY.122,B.1.617.2.122,6
BE.1.1,B.1.1.529.5.3.1.1.1,5
BA.1.1.18,B.1.1.529.1.1.18,5
BA.5.2.6,B.1.1.529.5.2.6,5
BA.1.18,B.1.1.529.1.18,5
BA.1.1.1,B.1.1.529.1.1.1,4
JD.1.1,XBB.1.5.102.1.1,4
FL.1.5.1,XBB.1.9.1.1.5.1,4
B.1.2,B.1.2,3
BA.4.6,B.1.1.529.4.6,3
BA.5.1.23,B.1.1.529.5.1.23,3
B.1.1.7,B.1.1.7,3
AY.3,B.1.617.2.3,3
JG.3,XBB.1.9.2.5.1.3.3,2
BA.1.15,B.1.1.529.1.15,2
B.1.1.529,B.1.1.529,2
JN.1,B.1.1.529.2.86.1.1,2
BQ.1.1.18,B.1.1.529.5.3.1.1.1.1.1.1.18,2
B.1.617.2,B.1.617.2,2
BN.1.3.1,B.1.1.529.2.75.5.1.3.1,2
B.1.258,B.1.258,2
HV.1,XBB.1.9.2.5.1.6.1,2
BA.2.3,B.1.1.529.2.3,2
BA.1.17.2,B.1.1.529.1.17.2,2
BA.2.23,B.1.1.529.2.23,2
EG.6.1,XBB.1.9.2.6.1,2
BA.5,B.1.1.529.5,2
EG.5.1,XBB.1.9.2.5.1,2
EG.5.1.16,XBB.1.9.2.5.1.16,2
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,2
B.1.1.25,B.1.1.25,2
BA.1.1.16,B.1.1.529.1.1.16,2
EG.5.1.1,XBB.1.9.2.5.1.1,2
BQ.1.3.2,B.1.1.529.5.3.1.1.1.1.1.3.2,2
XBB.1.16.6,XBB.1.16.6,2
JN.1.50,B.1.1.529.2.86.1.1.50,1
AY.127,B.1.617.2.127,1
C.14,B.1.1.1.14,1
BQ.1.1.60,B.1.1.529.5.3.1.1.1.1.1.1.60,1
XBB.1.5.67,XBB.1.5.67,1
EG.1.6,XBB.1.9.2.1.6,1
BA.2.36,B.1.1.529.2.36,1
DY.2,B.1.1.529.5.2.48.2,1
JN.1.21,B.1.1.529.2.86.1.1.21,1
BA.4.6.1,B.1.1.529.4.6.1,1
XBC.1.1,XBC.1.1,1
XBB.2.3.8,XBB.2.3.8,1
AE.1,B.1.1.306.1,1
BQ.1.3.1,B.1.1.529.5.3.1.1.1.1.1.3.1,1
BA.2.2,B.1.1.529.2.2,1
AY.4,B.1.617.2.4,1
MC.11,B.1.1.529.2.86.1.1.11.1.3.1.1.11,1
