pango_lineage,pango_unaliased,count
BA.2,B.1.1.529.2,17
BA.1.1,B.1.1.529.1.1,12
BA.1.17.2,B.1.1.529.1.17.2,5
HK.3,XBB.1.9.2.5.1.1.3,5
BA.1,B.1.1.529.1,4
BA.4.6,B.1.1.529.4.6,3
JN.1,B.1.1.529.2.86.1.1,3
BF.7,B.1.1.529.5.2.1.7,3
BA.1.17,B.1.1.529.1.17,3
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,3
BA.2.9,B.1.1.529.2.9,3
XEC,XEC,2
BA.1.1.1,B.1.1.529.1.1.1,2
JN.1.1,B.1.1.529.2.86.1.1.1,2
BA.2.12.1,B.1.1.529.2.12.1,2
XBB.1.5.13,XBB.1.5.13,2
BA.5.2,B.1.1.529.5.2,2
BA.5.1,B.1.1.529.5.1,2
BA.1.1.16,B.1.1.529.1.1.16,2
EG.5.1.3,XBB.1.9.2.5.1.3,2
JN.1.39,B.1.1.529.2.86.1.1.39,2
JN.1.50,B.1.1.529.2.86.1.1.50,1
BA.5.6,B.1.1.529.5.6,1
EG.5.1.4,XBB.1.9.2.5.1.4,1
BE.1.1,B.1.1.529.5.3.1.1.1,1
XBB.1.16.19,XBB.1.16.19,1
B.1.497,B.1.497,1
GJ.1.2.5,XBB.2.3.3.1.2.5,1
BE.1.1.2,B.1.1.529.5.3.1.1.1.2,1
KP.2.3,B.1.1.529.2.86.1.1.11.1.2.3,1
C.37,B.1.1.1.37,1
AY.29,B.1.617.2.29,1
BA.5.1.28,B.1.1.529.5.1.28,1
B.1.36,B.1.36,1
BA.5.2.24,B.1.1.529.5.2.24,1
BQ.1.1.57,B.1.1.529.5.3.1.1.1.1.1.1.57,1
EU.1.1,XBB.1.5.26.1.1,1
JN.1.44,B.1.1.529.2.86.1.1.44,1
N.4,B.1.1.33.4,1
BA.2.36,B.1.1.529.2.36,1
BF.7.14.1,B.1.1.529.5.2.1.7.14.1,1
JL.1,B.1.1.529.2.75.3.4.1.1.1.1.17.1.3.2.1,1
XBB.1.5.37,XBB.1.5.37,1
KP.3.1,B.1.1.529.2.86.1.1.11.1.3.1,1
EG.1,XBB.1.9.2.1,1
JN.1.28,B.1.1.529.2.86.1.1.28,1
BA.2.62,B.1.1.529.2.62,1
HH.1,XBB.2.3.2.1,1
JG.3,XBB.1.9.2.5.1.3.3,1
DY.2,B.1.1.529.5.2.48.2,1
AY.59,B.1.617.2.59,1
BA.5.1.25,B.1.1.529.5.1.25,1
JS.1,XBB.2.3.15.1,1
B.1,B.1,1
B.1.1,B.1.1,1
MC.21,B.1.1.529.2.86.1.1.11.1.3.1.1.21,1
BA.1.15,B.1.1.529.1.15,1
FL.17,XBB.1.9.1.17,1
EG.6.1,XBB.1.9.2.6.1,1
Q.7,B.1.1.7.7,1
BQ.1.10,B.1.1.529.5.3.1.1.1.1.1.10,1
BA.5.1.6,B.1.1.529.5.1.6,1
AY.107,B.1.617.2.107,1
BA.5.2.2,B.1.1.529.5.2.2,1
EE.2,B.1.1.529.5.3.1.1.1.1.1.1.4.2,1
XEC.32,XEC.32,1
BA.1.13.1,B.1.1.529.1.13.1,1
BA.5.2.6,B.1.1.529.5.2.6,1
EG.2,XBB.1.9.2.2,1
BA.2.2,B.1.1.529.2.2,1
CA.7,B.1.1.529.2.75.2.7,1
JG.3.2,XBB.1.9.2.5.1.3.3.2,1
FE.1.1,XBB.1.18.1.1.1,1
BA.5.2.58,B.1.1.529.5.2.58,1
BF.26,B.1.1.529.5.2.1.26,1
BQ.1.8,B.1.1.529.5.3.1.1.1.1.1.8,1
BN.1.1,B.1.1.529.2.75.5.1.1,1
BA.2.65,B.1.1.529.2.65,1
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,1
BF.13,B.1.1.529.5.2.1.13,1
BA.1.18,B.1.1.529.1.18,1
XBB.1.9.1,XBB.1.9.1,1
BA.5.1.1,B.1.1.529.5.1.1,1
XBB.1.16,XBB.1.16,1
HK.11.1,XBB.1.9.2.5.1.1.11.1,1
HK.3.2,XBB.1.9.2.5.1.1.3.2,1
BQ.1.1.29,B.1.1.529.5.3.1.1.1.1.1.1.29,1
FL.5,XBB.1.9.1.5,1
BQ.1.1.4,B.1.1.529.5.3.1.1.1.1.1.1.4,1
LP.8.1.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.1,1
XBB.1.5.9,XBB.1.5.9,1
BQ.1.12,B.1.1.529.5.3.1.1.1.1.1.12,1
BF.28,B.1.1.529.5.2.1.28,1
B.1.351,B.1.351,1
B.1.258.17,B.1.258.17,1
AY.23,B.1.617.2.23,1
BM.2,B.1.1.529.2.75.3.2,1
BQ.1.1.66,B.1.1.529.5.3.1.1.1.1.1.1.66,1
BA.2.56,B.1.1.529.2.56,1
CM.5,B.1.1.529.2.3.20.5,1
B.1.160,B.1.160,1
BA.5.2.1,B.1.1.529.5.2.1,1
BA.1.20,B.1.1.529.1.20,1
JN.1.4,B.1.1.529.2.86.1.1.4,1
BA.2.75.5,B.1.1.529.2.75.5,1
