pango_lineage,pango_unaliased,count
BA.2,B.1.1.529.2,18
BA.1.1,B.1.1.529.1.1,16
XBB.1.5,XBB.1.5,8
BA.5.1,B.1.1.529.5.1,5
BA.2.12.1,B.1.1.529.2.12.1,4
BQ.1.1,B.1.1.529.5.3.1.1.1.1.1.1,4
HV.1,XBB.1.9.2.5.1.6.1,3
BA.2.9,B.1.1.529.2.9,3
JG.3,XBB.1.9.2.5.1.3.3,2
JN.1,B.1.1.529.2.86.1.1,2
BA.5.2.20,B.1.1.529.5.2.20,2
JD.1.1,XBB.1.5.102.1.1,2
BA.2.1,B.1.1.529.2.1,2
KP.3.1.1,B.1.1.529.2.86.1.1.11.1.3.1.1,2
B.1.617.2,B.1.617.2,2
B.1.1.7,B.1.1.7,2
XBB.1.28.1,XBB.1.28.1,1
B.1.258,B.1.258,1
XAH,XAH,1
KP.3.2,B.1.1.529.2.86.1.1.11.1.3.2,1
XAC,XAC,1
FY.1.2,XBB.1.22.1.1.2,1
BA.1.1.1,B.1.1.529.1.1.1,1
HV.2,XBB.1.9.2.5.1.6.2,1
BA.5.2.24,B.1.1.529.5.2.24,1
BA.2.10,B.1.1.529.2.10,1
GW.5.3.1,XBB.1.19.1.5.3.1,1
B.1.470,B.1.470,1
XBB.1.5.21,XBB.1.5.21,1
BA.5.2.9,B.1.1.529.5.2.9,1
BA.4,B.1.1.529.4,1
BA.5.1.22,B.1.1.529.5.1.22,1
BA.1.1.18,B.1.1.529.1.1.18,1
MC.13,B.1.1.529.2.86.1.1.11.1.3.1.1.13,1
BQ.1.1.2,B.1.1.529.5.3.1.1.1.1.1.1.2,1
XBB.1.5.90,XBB.1.5.90,1
EG.5.1.13,XBB.1.9.2.5.1.13,1
AY.43,B.1.617.2.43,1
B.1,B.1,1
BA.4.6,B.1.1.529.4.6,1
B.1.1,B.1.1,1
XBB.1.5.13,XBB.1.5.13,1
XBB.2.6,XBB.2.6,1
BA.5.2,B.1.1.529.5.2,1
FL.2.2,XBB.1.9.1.2.2,1
BQ.1.11,B.1.1.529.5.3.1.1.1.1.1.11,1
XBK,XBK,1
BA.5.2.22,B.1.1.529.5.2.22,1
B.1.177,B.1.177,1
AY.103,B.1.617.2.103,1
BA.5.2.3,B.1.1.529.5.2.3,1
BA.1.17,B.1.1.529.1.17,1
XBB.1.16.11,XBB.1.16.11,1
CH.1.1.8,B.1.1.529.2.75.3.4.1.1.1.1.8,1
FL.1.5.1,XBB.1.9.1.1.5.1,1
BQ.1.1.15,B.1.1.529.5.3.1.1.1.1.1.1.15,1
BQ.1.1.69,B.1.1.529.5.3.1.1.1.1.1.1.69,1
JN.1.2,B.1.1.529.2.86.1.1.2,1
FE.1.1,XBB.1.18.1.1.1,1
BA.1,B.1.1.529.1,1
XBB.1.33,XBB.1.33,1
BQ.1.8,B.1.1.529.5.3.1.1.1.1.1.8,1
KP.3.1.4,B.1.1.529.2.86.1.1.11.1.3.1.4,1
BA.2.31,B.1.1.529.2.31,1
LB.1,B.1.1.529.2.86.1.1.9.2.1,1
BA.2.18,B.1.1.529.2.18,1
BQ.1.1.37,B.1.1.529.5.3.1.1.1.1.1.1.37,1
GK.3.1,XBB.1.5.70.3.1,1
CH.1.1,B.1.1.529.2.75.3.4.1.1.1.1,1
BA.1.18,B.1.1.529.1.18,1
BQ.1.1.1,B.1.1.529.5.3.1.1.1.1.1.1.1,1
XBB.1.16,XBB.1.16,1
BA.5.1.12,B.1.1.529.5.1.12,1
BA.2.9.1,B.1.1.529.2.9.1,1
EG.5.1,XBB.1.9.2.5.1,1
BA.5.2.59,B.1.1.529.5.2.59,1
KP.3,B.1.1.529.2.86.1.1.11.1.3,1
BQ.1.1.78,B.1.1.529.5.3.1.1.1.1.1.1.78,1
LP.8.1.1,B.1.1.529.2.86.1.1.11.1.1.1.3.8.1.1,1
BA.5.1.35,B.1.1.529.5.1.35,1
DE.2,B.1.1.529.5.1.23.2,1
B.1.2,B.1.2,1
XBB.1.16.6,XBB.1.16.6,1
